num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4809	5158.148676	122.201669	0.337413	1.596698	41.420685
4811	5160.233067	121.869134	0.198956	1.593117	42.550343
4813	5162.317060	121.894440	0.126627	1.591568	41.768198
4815	5164.401797	121.653143	0.119163	1.591959	41.942625
4817	5166.487391	121.354954	0.025169	1.592767	41.994029
4819	5168.573276	121.198356	-0.038702	1.593761	42.305122
4821	5170.659852	120.706454	-0.152097	1.591477	41.092714
4823	5172.747212	120.757575	-0.220134	1.586161	39.348077
4825	5174.832392	120.826191	-0.092658	1.585133	41.397722
4827	5176.915268	120.745514	-0.149460	1.595361	41.748046
4829	5179.000411	119.788088	-0.430784	1.596745	40.563098
4831	5181.089162	119.991714	-0.496974	1.583536	39.763342
4833	5183.172831	120.229339	-0.287967	1.589610	40.870622
4835	5185.256636	119.381134	-0.515391	1.598605	40.241623
4837	5187.345569	119.349718	-0.670922	1.583750	39.682832
4839	5189.429949	120.131327	-0.370908	1.587987	40.253462
4841	5191.513124	119.224988	-0.662361	1.598883	38.816154
4843	5193.601120	118.691478	-0.841426	1.589722	40.600962
4845	5195.688110	119.071365	-0.774541	1.583747	41.451181
4847	5197.771616	118.930739	-0.769833	1.590388	41.062600
4849	5199.855297	118.891211	-0.733445	1.595027	40.604902
4851	5201.940845	118.308622	-0.858545	1.593822	39.754428
4853	5204.026887	118.009938	-0.920818	1.592137	39.608111
4855	5206.113069	117.920922	-0.993339	1.590940	39.192771
4857	5208.198440	118.046066	-1.027741	1.590605	40.279482
4859	5210.283596	117.924690	-1.092489	1.589502	39.980459
4861	5212.368311	117.795854	-1.145729	1.587333	38.753146
4863	5214.454061	117.511252	-1.191310	1.585601	38.127728
4865	5216.540895	116.945768	-1.230079	1.587898	38.976884
4867	5218.628295	117.103392	-1.220306	1.590520	38.512341
4869	5220.713737	116.727754	-1.432086	1.588479	38.999026
4871	5222.796406	117.078789	-1.469051	1.582669	39.195514
4873	5224.881734	116.457985	-1.381722	1.581909	38.603133
4875	5226.970139	116.176533	-1.454542	1.588300	38.249725
4877	5229.055499	116.020108	-1.619140	1.585702	39.163414
4879	5231.138368	116.304756	-1.662044	1.578739	38.507783
4881	5233.223374	115.624382	-1.605908	1.578863	38.909897
4883	5235.311269	115.571467	-1.620380	1.583400	37.936473
4885	5237.398017	115.601643	-1.766288	1.582086	38.510781
4887	5239.482117	115.196256	-1.864089	1.579927	36.588103
4889	5241.566010	115.099622	-1.886144	1.577992	36.855999
