crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	43.472961	6148	0.000000
281474976710655.000000	39.531528	6149	0.000000
281474976710655.000000	53.268253	6150	0.000000
281474976710655.000000	42.248970	6151	0.000000
281474976710655.000000	42.626598	6152	0.000000
281474976710655.000000	46.730320	6153	0.000000
281474976710655.000000	37.778976	6154	0.000000
281474976710655.000000	46.863743	6155	0.000000
281474976710655.000000	43.536583	6156	0.000000
281474976710655.000000	35.543507	6157	0.000000
281474976710655.000000	41.807495	6158	0.000000
281474976710655.000000	46.136829	6159	0.000000
281474976710655.000000	35.488735	6160	0.000000
281474976710655.000000	42.612663	6161	0.000000
281474976710655.000000	34.836823	6162	0.000000
281474976710655.000000	51.535103	6163	0.000000
281474976710655.000000	42.170094	6164	0.000000
281474976710655.000000	34.466545	6165	0.000000
281474976710655.000000	34.309258	6166	0.000000
281474976710655.000000	41.832794	6167	0.000000
281474976710655.000000	50.801842	6168	0.000000
281474976710655.000000	51.148472	6169	0.000000
281474976710655.000000	41.804348	6170	0.000000
281474976710655.000000	34.079632	6171	0.000000
281474976710655.000000	41.554287	6172	0.000000
281474976710655.000000	41.830494	6173	0.000000
281474976710655.000000	41.613113	6174	0.000000
281474976710655.000000	36.277782	6175	0.000000
281474976710655.000000	45.708294	6176	0.000000
281474976710655.000000	35.949799	6177	0.000000
281474976710655.000000	34.413368	6178	0.000000
281474976710655.000000	41.676201	6179	0.000000
281474976710655.000000	40.603420	6180	0.000000
281474976710655.000000	34.882416	6181	0.000000
281474976710655.000000	34.097336	6182	0.000000
281474976710655.000000	42.551609	6183	0.000000
281474976710655.000000	40.807949	6184	0.000000
281474976710655.000000	42.023323	6185	0.000000
281474976710655.000000	50.175381	6186	0.000000
281474976710655.000000	50.627895	6187	0.000000
281474976710655.000000	35.826050	6188	0.000000
281474976710655.000000	35.982063	6189	0.000000
281474976710655.000000	33.381767	6190	0.000000
281474976710655.000000	50.651714	6191	0.000000
281474976710655.000000	40.158958	6192	0.000000
281474976710655.000000	41.594189	6193	0.000000
281474976710655.000000	41.812920	6194	0.000000
281474976710655.000000	37.619385	6195	0.000000
281474976710655.000000	33.658768	6196	0.000000
281474976710655.000000	41.742283	6197	0.000000
281474976710655.000000	35.424393	6198	0.000000
281474976710655.000000	37.430748	6199	0.000000
281474976710655.000000	37.500580	6200	0.000000
281474976710655.000000	33.474888	6201	0.000000
281474976710655.000000	39.976761	6202	0.000000
281474976710655.000000	39.537216	6203	0.000000
281474976710655.000000	43.639469	6204	0.000000
281474976710655.000000	39.568039	6205	0.000000
281474976710655.000000	41.101109	6206	0.000000
281474976710655.000000	34.105438	6207	0.000000
281474976710655.000000	34.837868	6208	0.000000
281474976710655.000000	39.014111	6209	0.000000
281474976710655.000000	39.999348	6210	0.000000
281474976710655.000000	39.141376	6211	0.000000
281474976710655.000000	48.709717	6212	0.000000
281474976710655.000000	39.896973	6213	0.000000
281474976710655.000000	43.345886	6214	0.000000
281474976710655.000000	40.151405	6215	0.000000
281474976710655.000000	32.790195	6216	0.000000
281474976710655.000000	38.869595	6217	0.000000
281474976710655.000000	36.970654	6218	0.000000
281474976710655.000000	38.099533	6219	0.000000
281474976710655.000000	39.016056	6220	0.000000
281474976710655.000000	48.035843	6221	0.000000
281474976710655.000000	34.918655	6222	0.000000
281474976710655.000000	35.734768	6223	0.000000
281474976710655.000000	32.440281	6224	0.000000
281474976710655.000000	37.663670	6225	0.000000
281474976710655.000000	38.535244	6226	0.000000
281474976710655.000000	38.130898	6227	0.000000
281474976710655.000000	38.374847	6228	0.000000
281474976710655.000000	34.203129	6229	0.000000
281474976710655.000000	42.687778	6230	0.000000
